Fund Manager,Fund Name,Fund Code,Inception Date,Fund Category,Fund Short Name,Subcategory,Fund Objective,Fund Benchmark,Risk Category,Inception Price,Unit Holder,Investment %
Riyad Capital Company,Riyad USD Diversified Trade Fund,1001,18-JUN-88,Money Market Funds - International,RUDTF,Shari'ah Compliant,The fund invests in US$ short term money market instruments such as Certificate of Deposit Commercial Paper and treasury Bills,The cost of financing amount among the banks in US dollar for three months.,,10,42,47222041.42
Riyad Capital Company,Riyad USD Trade Fund,1003,03-OCT-90,Money Market Funds - Foreign Currency Murabaha,RTF USD,Shari'ah Compliant,To seek capital preservation and realize a reasonable return through trading investment denominated in US Dollar,The Cost of Financing in US Dollar for 1 Month among Banks,,2.67,231,0
Riyad Capital Company,Riyad American Equity Fund,1004,26-MAY-92,Equity Funds - US,RAEF,-,To achieve capital growth through investment in US stocks.,S&P 500 Index,,10,20,0
Riyad Capital Company,Riyad Saudi Equity Fund,1014,03-DEC-92,Equity Funds - Local,Riyad Saudi Equity,-,It is a public open-ended fund that invests in Saudi stocks and aims to achieve long-term capital growth.,TASI,,0,0,0
Riyad Capital Company,Riyad SAR Trade Fund,1015,01-JUL-93,Money Market Funds - Saudi Riyal Murabaha,RSTF SAR,Shari'ah Compliant,Trade investment fund that safeguard capital offers competitive returens and ensure liquidity,The Cost of Financing in Saudi Riyal for 1 month among Banks,,1000,2233,43643580.88
Riyad Capital Company,Riyad Saudi Equity Sharia Fund,1016,21-NOV-96,Equity Funds - Local,RESF,Shari'ah Compliant,It is an open public fund that invests in Saudi stocks that are compatible with the Sharia regulations approved by the Sharia Committee and aims to achieve long-term capital growth.,Standard & Poor's index of Sharia-compliant companies,,0,0,0
Riyad Capital Company,Riyad Global Equity Sharia Fund,1019,17-MAY-99,Equity Funds - International/ Global,RGESF,Shari'ah Compliant,The Fund invests primarily in international stocks within the criteria set by Shariah Committee of Riyad Capital.,Dow Jones Islamic Index,,10,23,0
Riyad Capital Company,Riyad SAR Diversified Trade Fund,1020,24-MAY-99,Money Market Funds - Local,RSDTF,Shari'ah Compliant,To seek capital preservation and realize a competitive return through investment in SAR money market,The Cost of Financing in Saudi Riyal for 3 months among Banks,,1000,210,96973620.22
Riyad Capital Company,Riyad Balanced Income Fund,1025,15-MAR-05,Equity Funds - Local,BIF,Shari'ah Compliant,It is an open public fund that invests its assets mainly in the shares of companies listed in the Saudi market money market instruments and fixed income that are in accordance with Sharia regulations and determined by the fund index.,Composite benchmark index which consists of the Riyad Fund Index for Balanced Income which is compatible with Sharia regulations provided by Ideal Ratings by 50% and the price of the interbank financing cost in Saudi Riyals for a period of six months by 50%.,,0,0,0
Riyad Capital Company,Riyad Blue Chip Equity Fund,1027,31-DEC-00,Equity Funds - Local,Blue Chip Equity,-,It is a public open-ended fund that invests in Saudi stocks and aims to achieve long-term capital growth.,Ideal Rating Index for the major stocks of the Saudi market - for the Saudi investor,,0,0,0
Riyad Capital Company,Riyad Al Mutahafedh Fund,1030,10-JUN-01,Funds of Funds,Al-Mutahafedh,-,The Fund is invested on other funds opened has target to capital preservation within the low risk level.,MSCI WOLRD INDEX 8% TASI 2% BARCLAYS BOND INDEX 15% SIBOR ONE MONTH 75%,,0,0,0
Riyad Capital Company,Riyad Al Mutawazen Fund,1031,10-JUN-01,Funds of Funds,Al-Mutawazen,-,The Fund is invested on other funds opened has target to growth and capital preservation within the medium risk level.,MSCI WOLRD INDEX 32% TASI 8% BARCLAYS BOND INDEX 30% SIBOR ONE MONTH 30%,,0,0,0
Riyad Capital Company,Riyad Al Shujaa Fund,1032,10-JUN-01,Funds of Funds,Al-Shujaa,-,The Fund is invested on other funds opened has target to growth within the high risk level.,MSCI WOLRD INDEX 48% TASI 12% BARCLAYS BOND INDEX 30% SIBOR ONE MONTH 10%,,0,0,0
Riyad Capital Company,Riyad Al Jarei Fund,1033,10-JUN-01,Funds of Funds,Al-Jarei,-,The Fund is invested on other funds opened has target to growth within the high risk level.,MSCI WOLRD INDEX 64% TASI 16% BARCLAYS BOND INDEX 10% SIBOR ONE MONTH 10%,,0,0,0
Riyad Capital Company,Riyad Al Jarei Sharia Fund,1040,31-DEC-02,Funds of Funds,Al-Jarei Sharia,Shari'ah Compliant,The Fund is invested on other funds compliant with sharia opened has target to growth within the high risk level.,DJ ISLAMIC MARKETS 64% S&P SAUDI SHARIA 16% SIBOR 6 MONTHS 10% SIBOR ONE MONTH 10%,,0,0,0
Riyad Capital Company,Riyad Al Shujaa Sharia Fund,1041,31-DEC-02,Funds of Funds,Shujaa Sharia,Shari'ah Compliant,The Fund is invested on other funds compliant with sharia opened has target to growth within the high risk level.,DJ ISLAMIC MARKETS 48% S&P SAUDI SHARIA 12% SIBOR 6 MONTHS 30% SIBOR ONE MONTH 10%,,0,0,0
Riyad Capital Company,Riyad Al Mutawazen Sharia Fund,1042,31-DEC-02,Funds of Funds,Mutawazen Sharia,Shari'ah Compliant,The Fund is invested on other funds compliant with sharia opened has target to growth and capital preservation  within the medium risk level.,DJ ISLAMIC 32% S&P SAUDI SHARIA 8% SIBOR 6 MONTHS 30% SIBOR ONE MONTH 30%,,0,0,0
Riyad Capital Company,Riyad Al Mutahafedh Sharia Fund,1043,31-DEC-02,Funds of Funds,Mutahafedh Sharia,Shari'ah Compliant,The Fund is invested on other funds compliant with sharia opened has target to capital preservation within the low risk level.,DJ ISLAMIC INDEX 8% S&P SAUDI SHARIA 2% SIBOR 6 MONTHS 15% SIBOR ONE MONTH 75%,,0,0,0
Riyad Capital Company,Riyad Gulf Equity Fund,1048,14-NOV-06,Equity Funds - GCC,RGEF,Shari'ah Compliant,It is an open public fund that invests in Gulf stocks with the exception of Saudi Arabia that are compatible with the Sharia regulations approved by the Sharia Committee and aims to achieve long-term capital growth.,IdealRatings Islamic index for the Gulf markets excluding Saudi Arabia - for the Saudi investor,,0,0,0
Riyad Capital Company,Riyad Emerging Markets Equity Fund,1050,02-JUN-06,Funds of Funds,REMEF,-,The Future Equity Fund is managed by Riyad Capital. It invests its assets mainly in stocks distributed in China India Latin America Eastern Europe Africa and the Middle East through Fidelity China Focus Fund Fidelity India Focus Fund Fidelity Latin America Fund,The Benchmark consists of the following: MSCI Index USD China Free (25%) MSCI Index USD India (25%) MSCI EM Latin America (25%) and MSCI Index USD EMEA (25%).,,10,49,0
Riyad Capital Company,Riyad Emaar Fund,1051,30-DEC-09,Equity Funds - Local,Al Emaar,Shari'ah Compliant,It is an open public fund that invests in Saudi stocks that are compatible with the Sharia regulations approved by the Sharia Committee and aims to achieve long-term capital growth.,The Sharia-compliant Riyad Reconstruction Fund index provided by Ideal Ratings,,0,0,0
Riyad Capital Company,Riyad Small and Medium Cap Fund,1052,30-DEC-09,Equity Funds - Local,small and medcap,Shari'ah Compliant,It is an open public fund that invests its assets mainly in the shares of medium small and micro companies listed in the Saudi stock market and which are compatible with the Sharia regulations approved by the Sharia Committee determined by the fund index.,IdealRatings Islamic index of small medium and promising stocks for the Saudi market.,,0,0,0
Riyad Capital Company,Riyad Income Fund,1054,23-MAR-14,Equity Funds - Local,RIF,Shari'ah Compliant,It is a public open-ended fund that invests in local stocks that are compatible with Sharia regulations approved by the Sharia Committee of Riyad Capital. It aims to distribute income and achieve long-term capital development.,The Riyad Income Index Sharia-compliant fund provided by Ideal Ratings,,0,0,0
Riyad Capital Company,Riyad Opportunities Fund,1056,14-NOV-21,Equity Funds - Local,ROF,-,The Riyad Opportunities Fund is an open-ended public equity fund that invests in Saudi stocks and aims to achieve capital growth over the medium and long term.,TASI,,0,0,0
Riyad Capital Company,Riyad Sharia Opportunities Fund,1057,24-OCT-23,Equity Funds - Local,Opportunities Sharia,Shari'ah Compliant,It is an open public equity fund that aims to achieve growth on the invested capital in the medium and long term by investing its assets mainly in public stocks including shares of initial public offerings in the main Saudi stock market Tadawul the parallel market Nomu and Gulf markets that are compatible with the Sharia regulations established by the committee. legitimacy.,Standard & Poor's (S&P) index of Sharia-compliant companies.,,0,0,0
